gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE101601,GSM2708753,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708754,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708755,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708756,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708757,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708758,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708759,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708760,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708761,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708762,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708763,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708764,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708765,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708766,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708767,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708768,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708769,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708770,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708771,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708772,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708773,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708774,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708775,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708776,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708777,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708778,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708779,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708780,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708781,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708782,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708783,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708784,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708785,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708786,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708787,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708788,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708789,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708790,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708791,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708792,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708793,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708794,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708795,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708796,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708797,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708798,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708799,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708800,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708801,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708802,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
