gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,developmental_stage,gender
GSE104276,GSM2884059,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884059/suppl/GSM2884059_GW8_PFC1.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,8 weeks after gestation,female
GSE104276,GSM2884060,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884060/suppl/GSM2884060_GW9_PFC1.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,9 weeks after gestation,female
GSE104276,GSM2884061,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884061/suppl/GSM2884061_GW10_PFC1_1.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,10 weeks after gestation,male
GSE104276,GSM2884062,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884062/suppl/GSM2884062_GW10_PFC1_2.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,10 weeks after gestation,male
GSE104276,GSM2884063,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884063/suppl/GSM2884063_GW10_PFC2_1.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,10 weeks after gestation,female
GSE104276,GSM2884064,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884064/suppl/GSM2884064_GW10_PFC2_2.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,10 weeks after gestation,female
GSE104276,GSM2884065,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884065/suppl/GSM2884065_GW10_PFC3.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,10 weeks after gestation,female
GSE104276,GSM2884066,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884066/suppl/GSM2884066_GW12_PFC1.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,12 weeks after gestation,male
GSE104276,GSM2884067,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884067/suppl/GSM2884067_GW13_PFC1.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,13 weeks after gestation,female
GSE104276,GSM2884068,Cells From Prefrontal Cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2884nnn/GSM2884068/suppl/GSM2884068_GW16_PFC1_1.UMI_TPM_no_ERCC.txt.gz,Prefrontal Cortex,16 weeks after gestation,female
