gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,gender
GSE117891,GSM3314532,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314532/suppl/GSM3314532_S1P1.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314533,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314533/suppl/GSM3314533_S1P2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314534,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314534/suppl/GSM3314534_S1P3.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314535,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314535/suppl/GSM3314535_S1P4.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314536,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314536/suppl/GSM3314536_S1P5.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314537,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314537/suppl/GSM3314537_S1P6.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314538,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314538/suppl/GSM3314538_S1P7.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314539,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314539/suppl/GSM3314539_S1P8.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314540,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314540/suppl/GSM3314540_S2P1.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314541,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314541/suppl/GSM3314541_S2P2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314542,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314542/suppl/GSM3314542_S2P3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314543,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314543/suppl/GSM3314543_S2P4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314544,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314544/suppl/GSM3314544_S3P1.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314545,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314545/suppl/GSM3314545_S3P2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314546,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314546/suppl/GSM3314546_S3P3.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314547,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314547/suppl/GSM3314547_S3P4.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314548,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314548/suppl/GSM3314548_S3P5.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314549,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314549/suppl/GSM3314549_S3P6.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314550,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314550/suppl/GSM3314550_S3P7.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314551,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314551/suppl/GSM3314551_S3P8.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314552,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314552/suppl/GSM3314552_S4P1.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314553,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314553/suppl/GSM3314553_S4P2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314554,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314554/suppl/GSM3314554_S4P3.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314555,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314555/suppl/GSM3314555_S4P4.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314556,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314556/suppl/GSM3314556_S4P5.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314557,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314557/suppl/GSM3314557_S5P1.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314558,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314558/suppl/GSM3314558_S5P2.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314559,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314559/suppl/GSM3314559_S5P3.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314560,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314560/suppl/GSM3314560_S5P4.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314561,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314561/suppl/GSM3314561_S5P5.UMI_count.tsv.gz,Brain,female
GSE117891,GSM3314562,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314562/suppl/GSM3314562_S6P1.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314563,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314563/suppl/GSM3314563_S6P2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314564,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314564/suppl/GSM3314564_S6P3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314565,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314565/suppl/GSM3314565_S6P4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314566,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314566/suppl/GSM3314566_S6P5.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314567,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314567/suppl/GSM3314567_S7P1.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314568,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314568/suppl/GSM3314568_S7P3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314569,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314569/suppl/GSM3314569_S7P4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314570,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314570/suppl/GSM3314570_S7P5.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314571,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314571/suppl/GSM3314571_S8P1.UMI_count.tsv.gz,Brain,male
