gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,health_condition,tissue
GSE118257,GSM3323805,non-neurological control sample,Homo sapiens,NONE,non-neurological control sample,White Matter brain tissue
GSE118257,GSM3323806,non-neurological control sample,Homo sapiens,NONE,non-neurological control sample,White Matter brain tissue
GSE118257,GSM3323807,MS patient_normal appearing white matter,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323808,MS patient_remyelinating lesions,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323809,MS patient_chronic inactive lesions,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323810,MS patient_chronic active lesions,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323811,non-neurological control sample,Homo sapiens,NONE,non-neurological control sample,White Matter brain tissue
GSE118257,GSM3323812,non-neurological control sample,Homo sapiens,NONE,non-neurological control sample,White Matter brain tissue
GSE118257,GSM3323813,MS patient_chronic active lesions,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323814,MS patient_chronic inactive lesions,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323815,MS patient_chronic active lesions,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323816,MS patient_remyelinating lesions,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323817,non-neurological control sample,Homo sapiens,NONE,non-neurological control sample,White Matter brain tissue
GSE118257,GSM3323818,MS patient_normal appearing white matter,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323819,MS patient_chronic inactive lesions,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323820,MS patient_active,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323821,MS patient_normal appearing white matter,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323822,MS patient_active,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323823,MS patient_active,Homo sapiens,NONE,MS patient,White Matter brain tissue
GSE118257,GSM3323824,MS patient_chronic active lesions,Homo sapiens,NONE,MS patient,White Matter brain tissue
