gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age
GSE129519,GSM3714787,PGP1_human brain organoid,Homo sapiens,NONE,3 months
GSE129519,GSM3714788,PGP1_human brain organoid,Homo sapiens,NONE,3 months
GSE129519,GSM3714789,PGP1_human brain organoid,Homo sapiens,NONE,3 months
GSE129519,GSM3714790,PGP1_human brain organoid,Homo sapiens,NONE,3 months
GSE129519,GSM3714791,PGP1_human brain organoid,Homo sapiens,NONE,3 months
GSE129519,GSM3714792,PGP1_human brain organoid,Homo sapiens,NONE,3 months
GSE129519,GSM3714793,HUES66_human brain organoid,Homo sapiens,NONE,3 months
GSE129519,GSM3714794,HUES66_human brain organoid,Homo sapiens,NONE,3 months
GSE129519,GSM3714795,HUES66_human brain organoid,Homo sapiens,NONE,3 months
GSE129519,GSM3714796,11a_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714797,11a_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714798,11a_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714799,GM8330_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714800,GM8330_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714801,GM8330_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714802,PGP1_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714803,PGP1_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714804,PGP1_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714805,PGP1_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714806,PGP1_human brain organoid,Homo sapiens,NONE,6 months
GSE129519,GSM3714807,PGP1_human brain organoid,Homo sapiens,NONE,6 months
