gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,age_(weeks),sex,cloneid,protocol
GSE132672,GSM3885373,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,5,Male,NA,NA
GSE132672,GSM3885374,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,8,Male,NA,NA
GSE132672,GSM3885375,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,5,Male,NA,NA
GSE132672,GSM3885376,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Directed [D]
GSE132672,GSM3885377,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,1323.4,Least Direct [L]
GSE132672,GSM3885378,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,1323.4,Least Direct [L]
GSE132672,GSM3885379,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,1323.4,Directed [D]
GSE132672,GSM3885380,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,1323.4,Directed [D]
GSE132672,GSM3885381,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885382,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885383,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885384,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885385,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Most Directed [M]
GSE132672,GSM3885386,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Most Directed [M]
GSE132672,GSM3885387,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Most Directed [M]
GSE132672,GSM3885388,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Most Directed [M]
GSE132672,GSM3885389,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Directed [D]
GSE132672,GSM3885390,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885391,hES-derived cerebral organoid,Homo sapiens,NONE,hES-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885392,hES-derived cerebral organoid,Homo sapiens,NONE,hES-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885393,hES-derived cerebral organoid,Homo sapiens,NONE,hES-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885394,hES-derived cerebral organoid,Homo sapiens,NONE,hES-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885395,hES-derived cerebral organoid,Homo sapiens,NONE,hES-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885396,hES-derived cerebral organoid,Homo sapiens,NONE,hES-derived cerebral organoid,NA,NA,0,Most Directed [M]
GSE132672,GSM3885397,hES-derived cerebral organoid,Homo sapiens,NONE,hES-derived cerebral organoid,NA,NA,0,Most Directed [M]
GSE132672,GSM3885398,hES-derived cerebral organoid,Homo sapiens,NONE,hES-derived cerebral organoid,NA,NA,0,Most Directed [M]
GSE132672,GSM3885399,hES-derived cerebral organoid,Homo sapiens,NONE,hES-derived cerebral organoid,NA,NA,0,Most Directed [M]
GSE132672,GSM3885400,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM3885401,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Directed [D]
GSE132672,GSM3885402,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,1323.4,Least Direct [L]
GSE132672,GSM3885403,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,1323.4,Directed [D]
GSE132672,GSM3885404,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Directed [D]
GSE132672,GSM3885405,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,0,Least Direct [L]
GSE132672,GSM4215478,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,L13234controlweek15,Protocol [L]
GSE132672,GSM4215479,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,wk2413234P,Protocol [D]
GSE132672,GSM4215480,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,wk2413234S,Protocol [L]
GSE132672,GSM4215481,iPS-derived cerebral organoid,Homo sapiens,NONE,iPS-derived cerebral organoid,NA,NA,wk24H1S_S2,Protocol [L]
