gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,gender
GSE142653,GSM4237193,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237194,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237195,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237196,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237197,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237198,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237199,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237200,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237201,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237202,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237203,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237204,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237205,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237206,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237207,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237208,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237209,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237210,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237211,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237212,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237213,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237214,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237215,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237216,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237217,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237218,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237219,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237220,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237221,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237222,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237223,fetal pituitary cells,Homo sapiens,NONE,female
GSE142653,GSM4237224,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237225,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237226,fetal pituitary cells,Homo sapiens,NONE,male
GSE142653,GSM4237227,fetal pituitary cells,Homo sapiens,NONE,male
