gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,sex,tissue
GSE144136,GSM4281974,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281975,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281976,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281977,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281978,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281979,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281980,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281981,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281982,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281983,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281984,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281985,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281986,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281987,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281988,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281989,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281990,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281991,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281992,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281993,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281994,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281995,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281996,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281997,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281998,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4281999,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4282000,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4282001,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4282002,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4282003,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4282004,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4282005,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4282006,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
GSE144136,GSM4282007,Post-mortem dosolateral prefrontal cortex,Homo sapiens,NONE,Male,Brain
