gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,developmental_stage,tissue
GSE144462,GSM4288685,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW21,frontal lobe of brain
GSE144462,GSM4288686,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW21,frontal lobe of brain
GSE144462,GSM4288687,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW21,frontal lobe of brain
GSE144462,GSM4288688,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW21,frontal lobe of brain
GSE144462,GSM4288689,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW21,frontal lobe of brain
GSE144462,GSM4288690,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW21,frontal lobe of brain
GSE144462,GSM4288691,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW21,frontal lobe of brain
GSE144462,GSM4288692,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW21,frontal lobe of brain
GSE144462,GSM4288693,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW21,frontal lobe of brain
GSE144462,GSM4288694,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW23,frontal lobe of brain
GSE144462,GSM4288695,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288696,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288697,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288698,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288699,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288700,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288701,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288702,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288703,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288704,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288705,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288706,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW24,frontal lobe of brain
GSE144462,GSM4288707,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288708,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288709,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288710,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288711,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288712,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288713,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288714,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288715,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288716,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288717,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288718,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288719,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288720,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288721,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW25,frontal lobe of brain
GSE144462,GSM4288722,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW26,frontal lobe of brain
GSE144462,GSM4288723,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW26,frontal lobe of brain
GSE144462,GSM4288724,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW26,frontal lobe of brain
GSE144462,GSM4288725,"embryonic brain, single cell",Homo sapiens,NONE,embryonic stage GW26,frontal lobe of brain
