gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,tissue
GSE157827,GSM4775561,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775561/suppl/GSM4775561_AD1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775561/suppl/GSM4775561_AD1_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775561/suppl/GSM4775561_AD1_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775562,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775562/suppl/GSM4775562_AD2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775562/suppl/GSM4775562_AD2_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775562/suppl/GSM4775562_AD2_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775563,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775563/suppl/GSM4775563_AD4_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775563/suppl/GSM4775563_AD4_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775563/suppl/GSM4775563_AD4_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775564,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775564/suppl/GSM4775564_AD5_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775564/suppl/GSM4775564_AD5_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775564/suppl/GSM4775564_AD5_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775565,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775565/suppl/GSM4775565_AD6_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775565/suppl/GSM4775565_AD6_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775565/suppl/GSM4775565_AD6_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775566,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775566/suppl/GSM4775566_AD8_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775566/suppl/GSM4775566_AD8_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775566/suppl/GSM4775566_AD8_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775567,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775567/suppl/GSM4775567_AD9_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775567/suppl/GSM4775567_AD9_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775567/suppl/GSM4775567_AD9_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775568,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775568/suppl/GSM4775568_AD10_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775568/suppl/GSM4775568_AD10_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775568/suppl/GSM4775568_AD10_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775569,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775569/suppl/GSM4775569_AD13_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775569/suppl/GSM4775569_AD13_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775569/suppl/GSM4775569_AD13_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775570,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775570/suppl/GSM4775570_AD19_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775570/suppl/GSM4775570_AD19_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775570/suppl/GSM4775570_AD19_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775571,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775571/suppl/GSM4775571_AD20_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775571/suppl/GSM4775571_AD20_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775571/suppl/GSM4775571_AD20_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775572,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775572/suppl/GSM4775572_AD21_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775572/suppl/GSM4775572_AD21_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775572/suppl/GSM4775572_AD21_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775573,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775573/suppl/GSM4775573_NC3_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775573/suppl/GSM4775573_NC3_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775573/suppl/GSM4775573_NC3_matrix.mtx.gz,prefrontal cortex
GSE157827,GSM4775574,prefrontal cortex snRNAseq,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775574/suppl/GSM4775574_NC7_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775574/suppl/GSM4775574_NC7_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4775nnn/GSM4775574/suppl/GSM4775574_NC7_matrix.mtx.gz,prefrontal cortex
