gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,supplementary_file_4,culture_type,age
GSE163018,GSM4970295,induced pluripotent stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970295/suppl/GSM4970295_organoid_13234_9week.snap.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970295/suppl/GSM4970295_organoid_13234_9week_metadata.csv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970295/suppl/GSM4970295_organoid_scATAC_allsamples_batchcorrected_snap.rds.gz,,cortical organoid,9 weeks
GSE163018,GSM4970296,induced pluripotent stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970296/suppl/GSM4970296_organoid_H28126_9week.snap.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970296/suppl/GSM4970296_organoid_H28126_9week_metadata.csv.gz,,,cortical organoid,9 weeks
GSE163018,GSM4970297,embryonic stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970297/suppl/GSM4970297_organoid_H1_9week.snap.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970297/suppl/GSM4970297_organoid_H1_9week_metadata.csv.gz,,,cortical organoid,9 weeks
GSE163018,GSM4970298,induced pluripotent stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970298/suppl/GSM4970298_organoid_H28126_scRNA_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970298/suppl/GSM4970298_organoid_H28126_scRNA_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970298/suppl/GSM4970298_organoid_H28126_scRNA_matrix.mtx.gz,,cortical organoid,9 weeks
GSE163018,GSM4970299,embryonic stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970299/suppl/GSM4970299_organoid_H1_scRNA_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970299/suppl/GSM4970299_organoid_H1_scRNA_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970299/suppl/GSM4970299_organoid_H1_scRNA_matrix.mtx.gz,,cortical organoid,9 weeks
GSE163018,GSM4970300,induced pluripotent stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970300/suppl/GSM4970300_organoid_13234_17week.snap.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970300/suppl/GSM4970300_organoid_13234_17week_metadata.csv.gz,,,cortical organoid,17 weeks
GSE163018,GSM4970301,induced pluripotent stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970301/suppl/GSM4970301_organoid_H28126_24week.snap.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970301/suppl/GSM4970301_organoid_H28126_24week_metadata.csv.gz,,,cortical organoid,24 weeks
GSE163018,GSM4970302,induced pluripotent stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970302/suppl/GSM4970302_org_VitACtrlDEAB_well1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970302/suppl/GSM4970302_org_VitACtrlDEAB_well1_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970302/suppl/GSM4970302_org_VitACtrlDEAB_well1_matrix.mtx.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970302/suppl/GSM4970302_organoid_VitACtrlDEAB_SeuratObject.rds.gz,cortical organoid,10 weeks
GSE163018,GSM4970303,induced pluripotent stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970303/suppl/GSM4970303_org_VitACtrlDEAB_well2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970303/suppl/GSM4970303_org_VitACtrlDEAB_well2_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970303/suppl/GSM4970303_org_VitACtrlDEAB_well2_matrix.mtx.gz,,cortical organoid,10 weeks
GSE163018,GSM4970304,induced pluripotent stem cells,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970304/suppl/GSM4970304_org_VitACtrlDEAB_well3_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970304/suppl/GSM4970304_org_VitACtrlDEAB_well3_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4970nnn/GSM4970304/suppl/GSM4970304_org_VitACtrlDEAB_well3_matrix.mtx.gz,,cortical organoid,10 weeks
