gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,tissue,disease_state,sex,age
GSE167494,GSM5106098,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106098/suppl/GSM5106098_D1-1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106098/suppl/GSM5106098_D1-1_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106098/suppl/GSM5106098_D1-1_matrix.mtx.gz,Prefrontal cortex,Non-symptomatic,Male,90
GSE167494,GSM5106099,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106099/suppl/GSM5106099_D1-2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106099/suppl/GSM5106099_D1-2_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106099/suppl/GSM5106099_D1-2_matrix.mtx.gz,Prefrontal cortex,Non-symptomatic,Male,90
GSE167494,GSM5106100,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106100/suppl/GSM5106100_D2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106100/suppl/GSM5106100_D2_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106100/suppl/GSM5106100_D2_matrix.mtx.gz,Prefrontal cortex,Non-symptomatic,Male,86
GSE167494,GSM5106101,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106101/suppl/GSM5106101_D3_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106101/suppl/GSM5106101_D3_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106101/suppl/GSM5106101_D3_matrix.mtx.gz,Prefrontal cortex,Non-symptomatic,Male,94
GSE167494,GSM5106102,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106102/suppl/GSM5106102_D4_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106102/suppl/GSM5106102_D4_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106102/suppl/GSM5106102_D4_matrix.mtx.gz,Prefrontal cortex,Non-symptomatic,Female,100
GSE167494,GSM5106103,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106103/suppl/GSM5106103_D5_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106103/suppl/GSM5106103_D5_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106103/suppl/GSM5106103_D5_matrix.mtx.gz,Prefrontal cortex,Non-symptomatic,Female,94
GSE167494,GSM5106104,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106104/suppl/GSM5106104_D6_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106104/suppl/GSM5106104_D6_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106104/suppl/GSM5106104_D6_matrix.mtx.gz,Prefrontal cortex,Non-symptomatic,Female,89
GSE167494,GSM5106105,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106105/suppl/GSM5106105_D7_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106105/suppl/GSM5106105_D7_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106105/suppl/GSM5106105_D7_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Male,71
GSE167494,GSM5106106,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106106/suppl/GSM5106106_D8_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106106/suppl/GSM5106106_D8_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106106/suppl/GSM5106106_D8_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Male,86
GSE167494,GSM5106107,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106107/suppl/GSM5106107_D9_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106107/suppl/GSM5106107_D9_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106107/suppl/GSM5106107_D9_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Male,68
GSE167494,GSM5106108,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106108/suppl/GSM5106108_D10_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106108/suppl/GSM5106108_D10_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106108/suppl/GSM5106108_D10_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Male,88
GSE167494,GSM5106109,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106109/suppl/GSM5106109_D11_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106109/suppl/GSM5106109_D11_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106109/suppl/GSM5106109_D11_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Male,89
GSE167494,GSM5106110,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106110/suppl/GSM5106110_D12_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106110/suppl/GSM5106110_D12_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106110/suppl/GSM5106110_D12_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Male,56
GSE167494,GSM5106111,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106111/suppl/GSM5106111_D13_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106111/suppl/GSM5106111_D13_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106111/suppl/GSM5106111_D13_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Female,77
GSE167494,GSM5106112,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106112/suppl/GSM5106112_D15_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106112/suppl/GSM5106112_D15_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106112/suppl/GSM5106112_D15_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Female,57
GSE167494,GSM5106113,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106113/suppl/GSM5106113_D16_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106113/suppl/GSM5106113_D16_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106113/suppl/GSM5106113_D16_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Female,77
GSE167494,GSM5106114,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106114/suppl/GSM5106114_D17_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106114/suppl/GSM5106114_D17_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106114/suppl/GSM5106114_D17_matrix.mtx.gz,Prefrontal cortex,Alzheimer's disease,Female,72
GSE167494,GSM5106116,Prefrontal cortex,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106116/suppl/GSM5106116_NS1_SOX9pos_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106116/suppl/GSM5106116_NS1_SOX9pos_features.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5106nnn/GSM5106116/suppl/GSM5106116_NS1_SOX9pos_matrix.mtx.gz,Prefrontal cortex,Non-symptomatic,Female,74
