gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,culture_condition
GSE168323,GSM5136255,Organoid standard culture day 15,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136255/suppl/GSM5136255_1standardorgday15.csv.gz,standard
GSE168323,GSM5136256,Organoid standard culture day 15,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136256/suppl/GSM5136256_2standardorgday15.csv.gz,standard
GSE168323,GSM5136257,Organoid standard culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136257/suppl/GSM5136257_5standardorgday30.csv.gz,standard
GSE168323,GSM5136258,Organoid standard culture day 60,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136258/suppl/GSM5136258_14standardorgday60.csv.gz,standard
GSE168323,GSM5136259,Organoid standard culture day 60,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136259/suppl/GSM5136259_16standardorgday60.csv.gz,standard
GSE168323,GSM5136260,Organoid standard culture day 60,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136260/suppl/GSM5136260_15standardorgday60.csv.gz,standard
GSE168323,GSM5136261,Organoid standard culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136261/suppl/GSM5136261_1standardorgday30.csv.gz,standard
GSE168323,GSM5136262,Organoid standard culture day 60,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136262/suppl/GSM5136262_13standardorgday60.csv.gz,standard
GSE168323,GSM5136263,Organoid standard culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136263/suppl/GSM5136263_4standardorgday30.csv.gz,standard
GSE168323,GSM5136264,Organoid standard culture day 60,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136264/suppl/GSM5136264_12standardorgday60.csv.gz,standard
GSE168323,GSM5136265,Organoid standard culture day 30,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5136nnn/GSM5136265/suppl/GSM5136265_3standardorgday30.csv.gz,standard
