gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,sample_type
GSE173279,GSM5264771,glioblastoma,Homo sapiens,NONE,tissue
GSE173279,GSM5264772,glioblastoma,Homo sapiens,NONE,organoid
GSE173279,GSM5264773,glioblastoma,Homo sapiens,NONE,tissue
GSE173279,GSM5264774,glioblastoma,Homo sapiens,NONE,organoid
GSE173279,GSM5264775,glioblastoma,Homo sapiens,NONE,tissue
GSE173279,GSM5264776,glioblastoma,Homo sapiens,NONE,organoid
GSE173279,GSM5264777,glioblastoma,Homo sapiens,NONE,tissue
GSE173279,GSM5264778,glioblastoma,Homo sapiens,NONE,organoid
GSE173279,GSM5264779,glioblastoma,Homo sapiens,NONE,tissue
GSE173279,GSM5264780,glioblastoma,Homo sapiens,NONE,organoid
GSE173279,GSM5264781,glioblastoma,Homo sapiens,NONE,tissue
GSE173279,GSM5264782,glioblastoma,Homo sapiens,NONE,organoid
GSE173279,GSM5264783,glioblastoma,Homo sapiens,NONE,tissue
GSE173279,GSM5264784,glioblastoma,Homo sapiens,NONE,organoid
GSE173279,GSM5264785,glioblastoma,Homo sapiens,NONE,tissue
GSE173279,GSM5264786,glioblastoma,Homo sapiens,NONE,organoid
