gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,disease_state
GSE174332,GSM5292143,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292144,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292145,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292146,Motor Cortex,Homo sapiens,NONE,Motor Cortex,c9ALS
GSE174332,GSM5292147,Motor Cortex,Homo sapiens,NONE,Motor Cortex,c9ALS
GSE174332,GSM5292148,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292149,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292150,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292151,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292152,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292153,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292154,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292155,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sALS
GSE174332,GSM5292156,Motor Cortex,Homo sapiens,NONE,Motor Cortex,c9ALS
GSE174332,GSM5292157,Motor Cortex,Homo sapiens,NONE,Motor Cortex,c9ALS
GSE174332,GSM5292158,Motor Cortex,Homo sapiens,NONE,Motor Cortex,c9ALS
GSE174332,GSM5292159,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292160,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292161,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292162,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292163,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292164,Motor Cortex,Homo sapiens,NONE,Motor Cortex,c9FTLD
GSE174332,GSM5292165,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292166,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292167,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292168,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292169,Motor Cortex,Homo sapiens,NONE,Motor Cortex,c9FTLD
GSE174332,GSM5292170,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292171,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292172,Motor Cortex,Homo sapiens,NONE,Motor Cortex,sFTLD
GSE174332,GSM5292173,Motor Cortex,Homo sapiens,NONE,Motor Cortex,c9FTLD
