gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,sex,age
GSE182211,GSM5590539,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590540,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590541,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590542,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590543,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590544,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590545,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590546,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590547,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590548,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590549,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590550,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590551,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590552,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590553,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590554,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590555,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590556,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590557,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590558,Human - dLGN - PC,Homo sapiens,NONE,M,54
GSE182211,GSM5590559,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590560,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590561,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590562,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590563,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590564,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590565,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590566,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590567,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590568,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590569,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590570,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590571,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590572,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590573,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590574,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590575,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590576,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590577,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590578,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590579,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590580,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590581,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590582,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590583,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590584,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590585,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590586,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590587,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590588,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590589,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590590,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590591,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590592,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590593,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590594,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590595,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590596,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590597,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590598,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590599,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590600,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590601,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590602,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590603,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590604,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590605,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590606,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590607,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590608,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590609,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590610,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590611,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590612,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590613,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590614,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590615,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590616,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590617,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590618,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590619,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590620,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590621,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590622,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590623,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590624,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590625,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590626,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590627,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590628,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590629,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590630,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590631,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590632,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590633,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590634,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590635,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590636,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590637,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590638,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590639,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590640,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590641,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590642,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590643,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590644,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590645,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590646,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590647,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590648,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590649,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590650,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590651,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590652,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590653,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590654,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590655,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590656,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590657,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590658,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590659,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590660,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590661,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590662,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590663,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590664,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590665,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590666,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590667,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590668,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590669,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590670,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590671,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590672,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590673,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590674,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590675,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590676,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590677,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590678,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590679,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590680,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590681,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590682,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590683,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590684,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590685,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590686,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590687,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590688,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590689,Human - dLGN - MC,Homo sapiens,NONE,M,50
GSE182211,GSM5590690,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590691,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590692,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590693,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590694,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590695,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590696,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590697,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590698,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590699,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590700,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590701,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590702,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590703,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590704,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590705,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590706,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590707,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590708,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590709,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590710,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590711,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590712,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590713,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590714,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590715,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590716,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590717,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590718,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590719,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590720,Human - dLGN - KC,Homo sapiens,NONE,M,50
GSE182211,GSM5590721,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590722,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590723,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590724,Human - dLGN - PC,Homo sapiens,NONE,M,50
GSE182211,GSM5590725,Human - dLGN - PC,Homo sapiens,NONE,M,50
