gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,age,sex
GSE186538,GSM5687879,Human HIP-EC,Homo sapiens,NONE,Entorhinal cortex,79Y,Female
GSE186538,GSM5687880,Human HIP-EC,Homo sapiens,NONE,Subiculum,79Y,Female
GSE186538,GSM5687881,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,79Y,Female
GSE186538,GSM5687882,Human HIP-EC,Homo sapiens,NONE,CA1,79Y,Female
GSE186538,GSM5687883,Human HIP-EC,Homo sapiens,NONE,CA2-4,79Y,Female
GSE186538,GSM5687884,Human HIP-EC,Homo sapiens,NONE,CA1,51Y,Male
GSE186538,GSM5687885,Human HIP-EC,Homo sapiens,NONE,CA2-4,51Y,Male
GSE186538,GSM5687886,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,51Y,Male
GSE186538,GSM5687887,Human HIP-EC,Homo sapiens,NONE,Entorhinal cortex,51Y,Male
GSE186538,GSM5687888,Human HIP-EC,Homo sapiens,NONE,Subiculum,51Y,Male
GSE186538,GSM5687889,Human HIP-EC,Homo sapiens,NONE,Entorhinal cortex,50Y,Female
GSE186538,GSM5687890,Human HIP-EC,Homo sapiens,NONE,Subiculum,50Y,Female
GSE186538,GSM5687891,Human HIP-EC,Homo sapiens,NONE,CA1,50Y,Female
GSE186538,GSM5687892,Human HIP-EC,Homo sapiens,NONE,CA2-4,50Y,Female
GSE186538,GSM5687893,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,50Y,Female
GSE186538,GSM5687894,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687895,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687896,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687897,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687898,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687899,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687900,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687901,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,44Y,Male
GSE186538,GSM5687902,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,44Y,Male
GSE186538,GSM5687903,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,44Y,Male
GSE186538,GSM5687904,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,44Y,Male
GSE186538,GSM5687905,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,44Y,Male
GSE186538,GSM5687906,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,44Y,Male
GSE186538,GSM5687907,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,44Y,Male
GSE186538,GSM5687908,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687909,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687910,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687911,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687912,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687913,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687914,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
GSE186538,GSM5687915,Human HIP-EC,Homo sapiens,NONE,Dentate gyrus,48Y,Male
