gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,tissue,age
GSE199243,GSM5967896,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967896/suppl/GSM5967896_Sample43.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967896/suppl/GSM5967896_Sample43.txt.gz,hippocampus,0.1 Yrs
GSE199243,GSM5967897,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967897/suppl/GSM5967897_Sample44.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967897/suppl/GSM5967897_Sample44.txt.gz,hippocampus,0.1 Yrs
GSE199243,GSM5967898,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967898/suppl/GSM5967898_Sample45.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967898/suppl/GSM5967898_Sample45.txt.gz,hippocampus,6 Yrs
GSE199243,GSM5967899,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967899/suppl/GSM5967899_Sample46.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967899/suppl/GSM5967899_Sample46.txt.gz,hippocampus,14 Yrs
GSE199243,GSM5967900,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967900/suppl/GSM5967900_Sample47.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967900/suppl/GSM5967900_Sample47.txt.gz,hippocampus,27 Yrs
GSE199243,GSM5967901,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967901/suppl/GSM5967901_Sample48.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967901/suppl/GSM5967901_Sample48.txt.gz,hippocampus,39 Yrs
GSE199243,GSM5967902,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967902/suppl/GSM5967902_Sample49.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967902/suppl/GSM5967902_Sample49.txt.gz,hippocampus,66 Yrs
GSE199243,GSM5967903,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967903/suppl/GSM5967903_Sample50.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967903/suppl/GSM5967903_Sample50.txt.gz,hippocampus,71 Yrs
GSE199243,GSM5967904,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967904/suppl/GSM5967904_Sample51.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967904/suppl/GSM5967904_Sample51.txt.gz,hippocampus,85 Yrs
GSE199243,GSM5967905,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967905/suppl/GSM5967905_Sample52.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967905/suppl/GSM5967905_Sample52.txt.gz,hippocampus,85 Yrs
GSE199243,GSM5967906,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967906/suppl/GSM5967906_Sample53_1K.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967906/suppl/GSM5967906_Sample53_1k.barcode.txt.gz,hippocampus,13 Yrs
GSE199243,GSM5967907,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967907/suppl/GSM5967907_Sample53_200.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967907/suppl/GSM5967907_Sample53_200.txt.gz,hippocampus,13 Yrs
GSE199243,GSM5967908,human hippocampus,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967908/suppl/GSM5967908_Sample53_500.barcode.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5967nnn/GSM5967908/suppl/GSM5967908_Sample53_500.txt.gz,hippocampus,13 Yrs
