gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,sex,age
GSE76381,GSM2268339,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268340,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268341,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268342,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268343,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268344,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268345,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268346,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268347,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268348,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268349,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268350,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268351,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268352,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268353,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268354,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268355,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268356,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268357,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268358,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268359,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268360,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268361,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268362,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268363,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268364,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268365,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268366,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268367,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268368,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268369,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268370,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268371,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268372,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268373,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268374,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268375,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268376,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268377,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268378,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268379,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268380,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268381,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268382,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268383,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268384,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
GSE76381,GSM2268385,ventral midbrain,Homo sapiens,NONE,ventral midbrain,pooled male and female,7w
