gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age,sex,tissue,single-cell_dissociation_method
GSE103976,GSM2787209,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787210,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787211,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787212,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787213,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787214,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787215,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787216,Medial amygdala,Mus musculus,NONE,9 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787217,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787218,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787219,Medial amygdala,Mus musculus,NONE,9 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787220,Medial amygdala,Mus musculus,NONE,9 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787221,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787222,Medial amygdala,Mus musculus,NONE,9 weeks,male,NA,Act-Seq
GSE103976,GSM2787223,Medial amygdala,Mus musculus,NONE,9 weeks,male,NA,Act-Seq
GSE103976,GSM2787224,Medial amygdala,Mus musculus,NONE,8 weeks,male,NA,Act-Seq
GSE103976,GSM2787225,Medial amygdala,Mus musculus,NONE,8 weeks,male,NA,Act-Seq
GSE103976,GSM2787226,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
GSE103976,GSM2787227,Medial amygdala,Mus musculus,NONE,8 weeks,male,Medial amygdala (MeA),NA
