gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age,mouse_stage
GSE104158,GSM2787340,Caudal ganglionic eminence,Mus musculus,NONE,E14.5,NA
GSE104158,GSM2787341,Caudal ganglionic eminence,Mus musculus,NONE,E14.5,NA
GSE104158,GSM2787342,Caudal ganglionic eminence,Mus musculus,NONE,E14.5,NA
GSE104158,GSM2787343,Caudal ganglionic eminence,Mus musculus,NONE,E14.5,NA
GSE104158,GSM2787344,Lateral ganglionic eminence,Mus musculus,NONE,E14.5,NA
GSE104158,GSM2787345,Lateral ganglionic eminence,Mus musculus,NONE,E14.5,NA
GSE104158,GSM2787346,Lateral ganglionic eminence,Mus musculus,NONE,E14.5,NA
GSE104158,GSM2787347,Lateral ganglionic eminence,Mus musculus,NONE,E14.5,NA
GSE104158,GSM2787348,Medial ganglionic eminence,Mus musculus,NONE,E13.5,NA
GSE104158,GSM2787349,Medial ganglionic eminence,Mus musculus,NONE,E13.5,NA
GSE104158,GSM2787350,Medial ganglionic eminence,Mus musculus,NONE,E13.5,NA
GSE104158,GSM2787351,Medial ganglionic eminence,Mus musculus,NONE,E13.5,NA
GSE104158,GSM2790897,Caudal ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790898,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790899,Cortex,Mus musculus,NONE,NA,E18.5
GSE104158,GSM2790900,Subcortex,Mus musculus,NONE,NA,E18.5
GSE104158,GSM2790901,Cortex,Mus musculus,NONE,NA,P10
GSE104158,GSM2790902,Subcortex,Mus musculus,NONE,NA,P10
GSE104158,GSM2790903,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790904,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790905,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790906,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790907,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790908,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790909,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790910,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790911,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790912,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790913,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790914,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790915,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790916,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790917,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790918,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790919,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790920,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
GSE104158,GSM2790921,Medial ganglionic eminence,Mus musculus,NONE,NA,E13.5
