gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age
GSE104323,GSM2795225,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795226,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795227,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795228,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795229,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795230,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795231,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795232,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795233,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795234,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795235,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795236,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795237,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795238,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795239,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795240,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795241,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795242,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795243,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795244,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795245,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795246,dentate gyrus,Mus musculus,NONE,E16.5
GSE104323,GSM2795247,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795248,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795249,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795250,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795251,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795252,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795253,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795254,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795255,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795256,dentate gyrus,Mus musculus,NONE,P0
GSE104323,GSM2795257,dentate gyrus,Mus musculus,NONE,P0
