gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,brain_area
GSE114000,GSM3128337,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128337/suppl/GSM3128337_105A10_S169.count.txt.gz,Cortex
GSE114000,GSM3128338,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128338/suppl/GSM3128338_105A11_S177.count.txt.gz,Cortex
GSE114000,GSM3128339,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128339/suppl/GSM3128339_105A12_S185.count.txt.gz,Cortex
GSE114000,GSM3128340,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128340/suppl/GSM3128340_105A1_S97.count.txt.gz,Cortex
GSE114000,GSM3128341,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128341/suppl/GSM3128341_105A2_S105.count.txt.gz,Cortex
GSE114000,GSM3128342,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128342/suppl/GSM3128342_105A3_S113.count.txt.gz,Cortex
GSE114000,GSM3128343,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128343/suppl/GSM3128343_105A4_S121.count.txt.gz,Cortex
GSE114000,GSM3128344,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128344/suppl/GSM3128344_105A5_S129.count.txt.gz,Cortex
GSE114000,GSM3128345,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128345/suppl/GSM3128345_105A6_S137.count.txt.gz,Cortex
GSE114000,GSM3128346,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128346/suppl/GSM3128346_105A9_S161.count.txt.gz,Cortex
GSE114000,GSM3128347,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128347/suppl/GSM3128347_105B11_S178.count.txt.gz,Cortex
GSE114000,GSM3128348,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128348/suppl/GSM3128348_105B12_S186.count.txt.gz,Cortex
GSE114000,GSM3128349,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128349/suppl/GSM3128349_105B1_S98.count.txt.gz,Cortex
GSE114000,GSM3128350,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128350/suppl/GSM3128350_105B2_S106.count.txt.gz,Cortex
GSE114000,GSM3128351,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128351/suppl/GSM3128351_105B3_S114.count.txt.gz,Cortex
GSE114000,GSM3128352,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128352/suppl/GSM3128352_105B9_S162.count.txt.gz,Cortex
GSE114000,GSM3128353,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128353/suppl/GSM3128353_105C10_S171.count.txt.gz,Cortex
GSE114000,GSM3128354,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128354/suppl/GSM3128354_105C11_S179.count.txt.gz,Cortex
GSE114000,GSM3128355,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128355/suppl/GSM3128355_105C12_S187.count.txt.gz,Cortex
GSE114000,GSM3128356,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128356/suppl/GSM3128356_105C1_S99.count.txt.gz,Cortex
GSE114000,GSM3128357,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128357/suppl/GSM3128357_105C2_S107.count.txt.gz,Cortex
GSE114000,GSM3128358,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128358/suppl/GSM3128358_105C4_S123.count.txt.gz,Cortex
GSE114000,GSM3128359,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128359/suppl/GSM3128359_105C5_S131.count.txt.gz,Cortex
GSE114000,GSM3128360,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128360/suppl/GSM3128360_105C7_S147.count.txt.gz,Cortex
GSE114000,GSM3128361,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128361/suppl/GSM3128361_105C8_S155.count.txt.gz,Cortex
GSE114000,GSM3128362,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128362/suppl/GSM3128362_105C9_S163.count.txt.gz,Cortex
GSE114000,GSM3128363,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128363/suppl/GSM3128363_105D10_S172.count.txt.gz,Cortex
GSE114000,GSM3128364,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128364/suppl/GSM3128364_105D11_S180.count.txt.gz,Cortex
GSE114000,GSM3128365,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128365/suppl/GSM3128365_105D12_S188.count.txt.gz,Cortex
GSE114000,GSM3128366,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128366/suppl/GSM3128366_105D1_S100.count.txt.gz,Cortex
GSE114000,GSM3128367,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128367/suppl/GSM3128367_105D2_S108.count.txt.gz,Cortex
GSE114000,GSM3128368,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128368/suppl/GSM3128368_105D3_S116.count.txt.gz,Cortex
GSE114000,GSM3128369,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128369/suppl/GSM3128369_105D4_S124.count.txt.gz,Cortex
GSE114000,GSM3128370,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128370/suppl/GSM3128370_105D6_S140.count.txt.gz,Cortex
GSE114000,GSM3128371,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128371/suppl/GSM3128371_105D7_S148.count.txt.gz,Cortex
GSE114000,GSM3128372,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128372/suppl/GSM3128372_105D8_S156.count.txt.gz,Cortex
GSE114000,GSM3128373,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128373/suppl/GSM3128373_105E12_S189.count.txt.gz,Cortex
GSE114000,GSM3128374,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128374/suppl/GSM3128374_105E1_S101.count.txt.gz,Cortex
GSE114000,GSM3128375,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128375/suppl/GSM3128375_105E3_S117.count.txt.gz,Cortex
GSE114000,GSM3128376,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128376/suppl/GSM3128376_105E5_S133.count.txt.gz,Cortex
GSE114000,GSM3128377,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128377/suppl/GSM3128377_105E7_S149.count.txt.gz,Cortex
GSE114000,GSM3128378,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128378/suppl/GSM3128378_105E8_S157.count.txt.gz,Cortex
GSE114000,GSM3128379,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128379/suppl/GSM3128379_105E9_S165.count.txt.gz,Cortex
GSE114000,GSM3128380,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128380/suppl/GSM3128380_105F10_S174.count.txt.gz,Cortex
GSE114000,GSM3128381,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128381/suppl/GSM3128381_105F11_S182.count.txt.gz,Cortex
GSE114000,GSM3128382,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128382/suppl/GSM3128382_105F1_S102.count.txt.gz,Cortex
GSE114000,GSM3128383,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128383/suppl/GSM3128383_105F4_S126.count.txt.gz,Cortex
GSE114000,GSM3128384,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128384/suppl/GSM3128384_105F7_S150.count.txt.gz,Cortex
GSE114000,GSM3128385,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128385/suppl/GSM3128385_105F8_S158.count.txt.gz,Cortex
GSE114000,GSM3128386,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128386/suppl/GSM3128386_105F9_S166.count.txt.gz,Cortex
GSE114000,GSM3128387,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128387/suppl/GSM3128387_105G10_S175.count.txt.gz,Cortex
GSE114000,GSM3128388,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128388/suppl/GSM3128388_105G11_S183.count.txt.gz,Cortex
GSE114000,GSM3128389,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128389/suppl/GSM3128389_105G2_S111.count.txt.gz,Cortex
GSE114000,GSM3128390,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128390/suppl/GSM3128390_105G3_S119.count.txt.gz,Cortex
GSE114000,GSM3128391,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128391/suppl/GSM3128391_105G4_S127.count.txt.gz,Cortex
GSE114000,GSM3128392,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128392/suppl/GSM3128392_105G5_S135.count.txt.gz,Cortex
GSE114000,GSM3128393,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128393/suppl/GSM3128393_105G6_S143.count.txt.gz,Cortex
GSE114000,GSM3128394,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128394/suppl/GSM3128394_105G8_S159.count.txt.gz,Cortex
GSE114000,GSM3128395,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128395/suppl/GSM3128395_105G9_S167.count.txt.gz,Cortex
GSE114000,GSM3128396,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128396/suppl/GSM3128396_105H10_S176.count.txt.gz,Cortex
GSE114000,GSM3128397,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128397/suppl/GSM3128397_105H11_S184.count.txt.gz,Cortex
GSE114000,GSM3128398,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128398/suppl/GSM3128398_105H2_S112.count.txt.gz,Cortex
GSE114000,GSM3128399,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128399/suppl/GSM3128399_105H6_S144.count.txt.gz,Cortex
GSE114000,GSM3128400,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128400/suppl/GSM3128400_105H7_S152.count.txt.gz,Cortex
GSE114000,GSM3128401,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128401/suppl/GSM3128401_105H8_S160.count.txt.gz,Cortex
GSE114000,GSM3128402,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128402/suppl/GSM3128402_105H9_S168.count.txt.gz,Cortex
GSE114000,GSM3128403,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128403/suppl/GSM3128403_115A10_S265.count.txt.gz,Cortex
GSE114000,GSM3128404,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128404/suppl/GSM3128404_115A11_S273.count.txt.gz,Cortex
GSE114000,GSM3128405,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128405/suppl/GSM3128405_115A12_S281.count.txt.gz,Cortex
GSE114000,GSM3128406,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128406/suppl/GSM3128406_115A1_S193.count.txt.gz,Cortex
GSE114000,GSM3128407,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128407/suppl/GSM3128407_115A2_S201.count.txt.gz,Cortex
GSE114000,GSM3128408,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128408/suppl/GSM3128408_115A3_S209.count.txt.gz,Cortex
GSE114000,GSM3128409,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128409/suppl/GSM3128409_115A4_S217.count.txt.gz,Cortex
GSE114000,GSM3128410,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128410/suppl/GSM3128410_115A5_S225.count.txt.gz,Cortex
GSE114000,GSM3128411,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128411/suppl/GSM3128411_115A6_S233.count.txt.gz,Cortex
GSE114000,GSM3128412,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128412/suppl/GSM3128412_115A7_S241.count.txt.gz,Cortex
GSE114000,GSM3128413,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128413/suppl/GSM3128413_115A8_S249.count.txt.gz,Cortex
GSE114000,GSM3128414,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128414/suppl/GSM3128414_115B10_S266.count.txt.gz,Cortex
GSE114000,GSM3128415,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128415/suppl/GSM3128415_115B11_S274.count.txt.gz,Cortex
GSE114000,GSM3128416,Brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3128nnn/GSM3128416/suppl/GSM3128416_115B12_S282.count.txt.gz,Cortex
