gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age,tissue,gender,strain
GSE115622,GSM3185132,population_RNAseq,Mus musculus,NONE,19 MO,SVZ,Male,NA
GSE115622,GSM3185133,population_RNAseq,Mus musculus,NONE,19 MO,SVZ,Male,NA
GSE115622,GSM3185134,population_RNAseq,Mus musculus,NONE,19 MO,SVZ,Male,NA
GSE115622,GSM3185135,population_RNAseq,Mus musculus,NONE,19 MO,SVZ,Male,NA
GSE115622,GSM3185136,population_RNAseq,Mus musculus,NONE,19 MO,SVZ,Male,NA
GSE115622,GSM3185137,population_RNAseq,Mus musculus,NONE,19 MO,SVZ,Male,NA
GSE115622,GSM3185138,population_RNAseq,Mus musculus,NONE,19 MO,SVZ,Male,NA
GSE115622,GSM3185139,population_RNAseq,Mus musculus,NONE,19 MO,SVZ,Male,NA
GSE115622,GSM3185140,population_RNAseq,Mus musculus,NONE,2 MO,SVZ,Male,NA
GSE115622,GSM3185141,population_RNAseq,Mus musculus,NONE,2 MO,SVZ,Male,NA
GSE115622,GSM3185142,population_RNAseq,Mus musculus,NONE,2 MO,SVZ,Male,NA
GSE115622,GSM3185143,population_RNAseq,Mus musculus,NONE,2 MO,SVZ,Male,NA
GSE115622,GSM3185144,population_RNAseq,Mus musculus,NONE,2 MO,SVZ,Male,NA
GSE115622,GSM3185145,population_RNAseq,Mus musculus,NONE,2 MO,SVZ,Male,NA
GSE115622,GSM3185146,population_RNAseq,Mus musculus,NONE,2 MO,SVZ,Male,NA
GSE115622,GSM3185147,population_RNAseq,Mus musculus,NONE,2 MO,SVZ,Male,NA
GSE115622,GSM3185150,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185151,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185152,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185153,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185154,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185155,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185156,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185157,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185158,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185159,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185160,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185161,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185162,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185163,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185164,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185165,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185166,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185167,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185168,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185169,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185170,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185171,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
GSE115622,GSM3185172,single_cell_RNAseq,Mus musculus,NONE,23 MO,SVZ,Male,NA
