gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,age,disease_state
GSE118948,GSM3351706,"blood, naive",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351706/suppl/GSM3351706_Blood_Naive_5.coutt.csv.gz,Blood,8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351707,"blood, onset",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351707/suppl/GSM3351707_Blood_Onset_18.coutt.csv.gz,Blood,9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351708,"blood, preclinical day 4",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351708/suppl/GSM3351708_Blood_Precl4d_6.coutt.csv.gz,Blood,9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351709,"Choroid plexus, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351709/suppl/GSM3351709_CP1_Acute_1_23.coutt.csv.gz,Choroid plexus (Brain),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351710,"Choroid plexus, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351710/suppl/GSM3351710_CP1_Acute_2_24.coutt.csv.gz,Choroid plexus (Brain),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351711,"Choroid plexus, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351711/suppl/GSM3351711_CP2_Acute_1_1.coutt.csv.gz,Choroid plexus (Brain),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351712,"Choroid plexus, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351712/suppl/GSM3351712_CP2_Acute_2_2.coutt.csv.gz,Choroid plexus (Brain),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351713,"Choroid plexus, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351713/suppl/GSM3351713_CP4_Onset_1.coutt.csv.gz,Choroid plexus (Brain),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351714,"Choroid plexus, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351714/suppl/GSM3351714_CP5_Onset_17.coutt.csv.gz,Choroid plexus (Brain),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351715,"Choroid plexus, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351715/suppl/GSM3351715_CP5_Onset_4.coutt.csv.gz,Choroid plexus (Brain),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351716,"Choroid plexus, naive phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351716/suppl/GSM3351716_CP_Naive_1.coutt.csv.gz,Choroid plexus (Brain),8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351717,"Choroid plexus, naive phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351717/suppl/GSM3351717_CP_Naive_7.coutt.csv.gz,Choroid plexus (Brain),8 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351718,"Choroid plexus, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351718/suppl/GSM3351718_CP_Precl_18.coutt.csv.gz,Choroid plexus (Brain),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351719,"Choroid plexus, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351719/suppl/GSM3351719_CP_Precl_1_8.coutt.csv.gz,Choroid plexus (Brain),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351720,"Choroid plexus, preclinical day 8",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351720/suppl/GSM3351720_CP_Precl_2_9.coutt.csv.gz,Choroid plexus (Brain),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351721,"Choroid plexus, preclinical day 4",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351721/suppl/GSM3351721_CP_Precl4d_2.coutt.csv.gz,Choroid plexus (Brain),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351722,"Choroid plexus, preclinical day 4",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351722/suppl/GSM3351722_CP_Precl4d_8.coutt.csv.gz,Choroid plexus (Brain),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351723,"Leptomeninges, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351723/suppl/GSM3351723_Men1_Acute_1_11.coutt.csv.gz,Leptomeninges (Spinal cord),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351724,"Leptomeninges, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351724/suppl/GSM3351724_Men2_Acute_1_3.coutt.csv.gz,Leptomeninges (Spinal cord),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351725,"Leptomeninges, peak phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351725/suppl/GSM3351725_Men2_Acute_2_4.coutt.csv.gz,Leptomeninges (Spinal cord),10 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351726,"Leptomeninges, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351726/suppl/GSM3351726_Men3_plate1_Onset_1_5.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
GSE118948,GSM3351727,"Leptomeninges, onset phase",Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3351nnn/GSM3351727/suppl/GSM3351727_Men3_plate1_Onset_2_6.coutt.csv.gz,Leptomeninges (Spinal cord),9 weeks,Experimental Autoimmune Encephalomyelitis
