gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,pup.age.at.injection,cell.age
GSE118953,GSM3351837,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351838,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351839,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351840,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351841,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351842,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351843,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351844,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351845,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351846,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351847,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351848,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351849,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351850,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351851,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351852,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351853,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351854,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351855,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351856,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351857,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351858,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351859,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351860,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351861,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351862,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351863,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351864,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351865,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351866,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351867,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351868,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351869,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351870,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351871,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351872,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351873,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351874,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351875,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351876,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351877,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351878,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351879,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351880,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351881,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351882,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351883,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351884,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351885,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351886,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351887,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351888,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351889,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351890,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351891,cortical cells,Mus musculus,NONE,E14,24H
GSE118953,GSM3351892,cortical cells,Mus musculus,NONE,E14,24H
