gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,tissue,sex,age
GSE124952,GSM3559978,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559978/suppl/GSM3559978_PFC_Sample1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559978/suppl/GSM3559978_PFC_Sample1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559978/suppl/GSM3559978_PFC_Sample1_matrix.mtx.gz,NAc,male,8-10 weeks
GSE124952,GSM3559979,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559979/suppl/GSM3559979_PFC_Sample2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559979/suppl/GSM3559979_PFC_Sample2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559979/suppl/GSM3559979_PFC_Sample2_matrix.mtx.gz,NAc,male,8-10 weeks
GSE124952,GSM3559980,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559980/suppl/GSM3559980_PFC_Sample3_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559980/suppl/GSM3559980_PFC_Sample3_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559980/suppl/GSM3559980_PFC_Sample3_matrix.mtx.gz,NAc,male,8-10 weeks
GSE124952,GSM3559981,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559981/suppl/GSM3559981_PFC_Sample4_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559981/suppl/GSM3559981_PFC_Sample4_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559981/suppl/GSM3559981_PFC_Sample4_matrix.mtx.gz,NAc,male,8-10 weeks
GSE124952,GSM3559982,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559982/suppl/GSM3559982_PFC_Sample5_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559982/suppl/GSM3559982_PFC_Sample5_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559982/suppl/GSM3559982_PFC_Sample5_matrix.mtx.gz,NAc,male,8-10 weeks
GSE124952,GSM3559983,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559983/suppl/GSM3559983_PFC_Sample6_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559983/suppl/GSM3559983_PFC_Sample6_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559983/suppl/GSM3559983_PFC_Sample6_matrix.mtx.gz,NAc,male,8-10 weeks
GSE124952,GSM3559984,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559984/suppl/GSM3559984_PFC_Sample7_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559984/suppl/GSM3559984_PFC_Sample7_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559984/suppl/GSM3559984_PFC_Sample7_matrix.mtx.gz,NAc,male,8-10 weeks
GSE124952,GSM3559985,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559985/suppl/GSM3559985_PFC_Sample8_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559985/suppl/GSM3559985_PFC_Sample8_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559985/suppl/GSM3559985_PFC_Sample8_matrix.mtx.gz,NAc,male,8-10 weeks
GSE124952,GSM3559986,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559986/suppl/GSM3559986_PFC_Sample9_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559986/suppl/GSM3559986_PFC_Sample9_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559986/suppl/GSM3559986_PFC_Sample9_matrix.mtx.gz,NAc,male,8-10 weeks
GSE124952,GSM3559987,Prefrontal cortex (PFC),Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559987/suppl/GSM3559987_PFC_Sample10_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559987/suppl/GSM3559987_PFC_Sample10_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3559nnn/GSM3559987/suppl/GSM3559987_PFC_Sample10_matrix.mtx.gz,NAc,male,8-10 weeks
