gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,sex
GSE130597,GSM3744476,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744476/suppl/GSM3744476_MLB003_AJP1-N701_merged_GE_clean.bam.dge_1920.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744477,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744477/suppl/GSM3744477_MLB003_AKP1-N702_merged_GE_clean.bam.dge_2280.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744478,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744478/suppl/GSM3744478_MLB003_ALP1-N703_merged_GE_clean.bam.dge_2640.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744479,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744479/suppl/GSM3744479_MLB004_ANP1-N701_merged_GE_clean.bam.dge_3750.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744480,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744480/suppl/GSM3744480_MLB003_AOP1-N704_merged_GE_clean.bam.dge_2160.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744481,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744481/suppl/GSM3744481_MLB003_APP1-N705_merged_GE_clean.bam.dge_2580.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744482,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744482/suppl/GSM3744482_MLB004_AQP1-N702_merged_GE_clean.bam.dge_3360.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744483,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744483/suppl/GSM3744483_MLB003_ASP1-N706_merged_GE_clean.bam.dge_1770.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744484,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744484/suppl/GSM3744484_MLB004_AZP1-N703_merged_GE_clean.bam.dge_3360.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744485,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744485/suppl/GSM3744485_MLB004_BAP1-N704_merged_GE_clean.bam.dge_2310.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744486,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744486/suppl/GSM3744486_MLB004_BBP1-N705_merged_GE_clean.bam.dge_0300.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744487,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744487/suppl/GSM3744487_MLB004_BCP1-N706_merged_GE_clean.bam.dge_1020.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744488,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744488/suppl/GSM3744488_MLB003_BDP1-N707_merged_GE_clean.bam.dge_0690.txt.gz,lateral hypothalamus,male
GSE130597,GSM3744489,lateral hypothalamus tissue punch,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3744nnn/GSM3744489/suppl/GSM3744489_MLB003_BEP1-N708_merged_GE_clean.bam.dge_0270.txt.gz,lateral hypothalamus,male
