gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,supplementary_file_2,supplementary_file_3,supplementary_file_4,tissue,age
GSE132355,GSM3860733,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860733/suppl/GSM3860733_E10_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860733/suppl/GSM3860733_E10_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860733/suppl/GSM3860733_E10_matrix.mtx.gz,,Hypothalamus,embryonic 10 days
GSE132355,GSM3860734,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860734/suppl/GSM3860734_E11_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860734/suppl/GSM3860734_E11_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860734/suppl/GSM3860734_E11_matrix.mtx.gz,,Hypothalamus,embryonic 11 days
GSE132355,GSM3860735,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860735/suppl/GSM3860735_E12-Foxd1-Ex3-Control-1-tSNE.rds.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860735/suppl/GSM3860735_E12_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860735/suppl/GSM3860735_E12_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860735/suppl/GSM3860735_E12_matrix.mtx.gz,Hypothalamus,embryonic 12 days
GSE132355,GSM3860736,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860736/suppl/GSM3860736_E13_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860736/suppl/GSM3860736_E13_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860736/suppl/GSM3860736_E13_matrix.mtx.gz,,Hypothalamus,embryonic 13 days
GSE132355,GSM3860737,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860737/suppl/GSM3860737_E14_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860737/suppl/GSM3860737_E14_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860737/suppl/GSM3860737_E14_matrix.mtx.gz,,Hypothalamus,embryonic 14 days
GSE132355,GSM3860738,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860738/suppl/GSM3860738_E15-1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860738/suppl/GSM3860738_E15-1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860738/suppl/GSM3860738_E15-1_matrix.mtx.gz,,Hypothalamus,embryonic 15 days
GSE132355,GSM3860739,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860739/suppl/GSM3860739_E15-2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860739/suppl/GSM3860739_E15-2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860739/suppl/GSM3860739_E15-2_matrix.mtx.gz,,Hypothalamus,embryonic 15 days
GSE132355,GSM3860740,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860740/suppl/GSM3860740_E16-1_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860740/suppl/GSM3860740_E16-1_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860740/suppl/GSM3860740_E16-1_matrix.mtx.gz,,Hypothalamus,embryonic 16 days
GSE132355,GSM3860741,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860741/suppl/GSM3860741_E16-2_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860741/suppl/GSM3860741_E16-2_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860741/suppl/GSM3860741_E16-2_matrix.mtx.gz,,Hypothalamus,embryonic 16 days
GSE132355,GSM3860742,Hypothalamus,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860742/suppl/GSM3860742_E18_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860742/suppl/GSM3860742_E18_genes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3860nnn/GSM3860742/suppl/GSM3860742_E18_matrix.mtx.gz,,Hypothalamus,embryonic 18 days
