gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,gender,age,tissue
GSE134918,GSM3978868,Ventricular-Subventricular Zone,Mus musculus,NONE,Male,8 weeks,Ventricular-Subventricular Zone
GSE134918,GSM3978869,Ventricular-Subventricular Zone,Mus musculus,NONE,Male,10 weeks,Ventricular-Subventricular Zone
GSE134918,GSM3978870,Ventricular-Subventricular Zone,Mus musculus,NONE,Female,8 weeks,Ventricular-Subventricular Zone
GSE134918,GSM3978871,Ventricular-Subventricular Zone,Mus musculus,NONE,Female,10 weeks,Ventricular-Subventricular Zone
GSE134918,GSM3978872,Olfactory Bulb,Mus musculus,NONE,Male,8 weeks,Olfactory Bulb
GSE134918,GSM3978873,Olfactory Bulb,Mus musculus,NONE,Male,10 weeks,Olfactory Bulb
GSE134918,GSM3978874,Olfactory Bulb,Mus musculus,NONE,Female,8 weeks,Olfactory Bulb
GSE134918,GSM3978875,Olfactory Bulb,Mus musculus,NONE,Female,10 weeks,Olfactory Bulb
GSE134918,GSM3978876,Ventricular-Subventricular Zone,Mus musculus,NONE,Male,8 weeks,Ventricular-Subventricular Zone
GSE134918,GSM3978877,Ventricular-Subventricular Zone,Mus musculus,NONE,Male,10 weeks,Ventricular-Subventricular Zone
GSE134918,GSM3978878,Olfactory Bulb,Mus musculus,NONE,Male,8 weeks,Olfactory Bulb
GSE134918,GSM3978879,Olfactory Bulb,Mus musculus,NONE,Male,10 weeks,Olfactory Bulb
GSE134918,GSM3978880,Ventricular-Subventricular Zone,Mus musculus,NONE,Male,8-9 weeks,Ventricular-Subventricular Zone
