gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,developmental_stage,tissue
GSE138903,GSM4121450,embryonic progenitors,Mus musculus,NONE,E9,Brain
GSE138903,GSM4121451,embryonic progenitors,Mus musculus,NONE,E9,Brain
GSE138903,GSM4121452,embryonic progenitors,Mus musculus,NONE,E9,Brain
GSE138903,GSM4121453,embryonic progenitors,Mus musculus,NONE,E9,Brain
GSE138903,GSM4121454,embryonic progenitors,Mus musculus,NONE,E9,Brain
GSE138903,GSM4121455,embryonic progenitors,Mus musculus,NONE,E9,Brain
GSE138903,GSM4121456,embryonic progenitors,Mus musculus,NONE,E8.25,Ectoderm
GSE138903,GSM4121457,embryonic progenitors,Mus musculus,NONE,E8.25,Ectoderm
GSE138903,GSM4121458,embryonic progenitors,Mus musculus,NONE,E8.25,Ectoderm
GSE138903,GSM4121459,embryonic progenitors,Mus musculus,NONE,E8.25,Foregut
GSE138903,GSM4121460,embryonic progenitors,Mus musculus,NONE,E8.25,Foregut
GSE138903,GSM4121461,embryonic progenitors,Mus musculus,NONE,E8.25,Foregut
GSE138903,GSM4121462,embryonic progenitors,Mus musculus,NONE,E9,Lung
GSE138903,GSM4121463,embryonic progenitors,Mus musculus,NONE,E9,Lung
GSE138903,GSM4121464,embryonic progenitors,Mus musculus,NONE,E9,Lung
GSE138903,GSM4121465,embryonic progenitors,Mus musculus,NONE,E9,Lung
GSE138903,GSM4121466,embryonic progenitors,Mus musculus,NONE,E9,Lung
GSE138903,GSM4121467,embryonic progenitors,Mus musculus,NONE,E9,Lung
GSE138903,GSM4121468,embryonic progenitors,Mus musculus,NONE,E13.5,Thyroid
GSE138903,GSM4121469,embryonic progenitors,Mus musculus,NONE,E13.5,Thyroid
GSE138903,GSM4121470,embryonic progenitors,Mus musculus,NONE,E13.5,Thyroid
GSE138903,GSM4121471,embryonic progenitors,Mus musculus,NONE,E13.5,Thyroid
GSE138903,GSM4121472,embryonic progenitors,Mus musculus,NONE,E13.5,Thyroid
GSE138903,GSM4121473,embryonic progenitors,Mus musculus,NONE,E13.5,Thyroid
