gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age,tissue
GSE141044,GSM4194799,6-month_WT_hippocampus,Mus musculus,NONE,6-month,hippocampus
GSE141044,GSM4194800,6-month_WT_hippocampus,Mus musculus,NONE,6-month,hippocampus
GSE141044,GSM4194801,6-month_WT_hippocampus,Mus musculus,NONE,6-month,hippocampus
GSE141044,GSM4194802,6-month_APP23_hippocampus,Mus musculus,NONE,6-month,hippocampus
GSE141044,GSM4194803,6-month_APP23_hippocampus,Mus musculus,NONE,6-month,hippocampus
GSE141044,GSM4194804,6-month_APP23_hippocampus,Mus musculus,NONE,6-month,hippocampus
GSE141044,GSM4194805,24-month_WT_hippocampus,Mus musculus,NONE,24-month,hippocampus
GSE141044,GSM4194806,24-month_WT_hippocampus,Mus musculus,NONE,24-month,hippocampus
GSE141044,GSM4194807,24-month_APP23_hippocampus,Mus musculus,NONE,24-month,hippocampus
GSE141044,GSM4194808,24-month_APP23_hippocampus,Mus musculus,NONE,24-month,hippocampus
GSE141044,GSM4194809,24-month_APP23_hippocampus,Mus musculus,NONE,24-month,hippocampus
