gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,disease_state,tissue
GSE141856,GSM4214745,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214745/suppl/GSM4214745_MW_NME1_1_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214746,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214746/suppl/GSM4214746_MW_NME1_2_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214747,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214747/suppl/GSM4214747_MW_NME1_3_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214748,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214748/suppl/GSM4214748_MW_NME1_4_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214749,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214749/suppl/GSM4214749_MW_NME1_5_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214750,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214750/suppl/GSM4214750_MW_NME1_6_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214751,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214751/suppl/GSM4214751_MW_NME1_7_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214752,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214752/suppl/GSM4214752_MW_NME1_8_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214753,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214753/suppl/GSM4214753_MW_NME1_9_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214754,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214754/suppl/GSM4214754_MW_NME1_10_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214755,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214755/suppl/GSM4214755_MW_NME1_11_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214756,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214756/suppl/GSM4214756_MW_NME1_12_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214757,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214757/suppl/GSM4214757_MW_NME1_13_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214758,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214758/suppl/GSM4214758_MW_NME1_14_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214759,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214759/suppl/GSM4214759_MW_NME1_15_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214760,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214760/suppl/GSM4214760_MW_NME1_16_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214761,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214761/suppl/GSM4214761_MW_NME1_17_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214762,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214762/suppl/GSM4214762_MW_NME1_18_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214763,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214763/suppl/GSM4214763_MW_NME1_19_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
GSE141856,GSM4214764,Striatum,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4214nnn/GSM4214764/suppl/GSM4214764_MW_NME1_20_processed_data_files.tar.gz,R62 mouse model of HD,Striatum
