gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age,region
GSE143758,GSM4276891,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276892,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276893,Brain,Mus musculus,NONE,1.5,Hippocampus
GSE143758,GSM4276894,Brain,Mus musculus,NONE,1.5,Hippocampus
GSE143758,GSM4276895,Brain,Mus musculus,NONE,4,Hippocampus
GSE143758,GSM4276896,Brain,Mus musculus,NONE,4,Hippocampus
GSE143758,GSM4276897,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276898,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276899,Brain,Mus musculus,NONE,10,Hippocampus
GSE143758,GSM4276900,Brain,Mus musculus,NONE,10,Hippocampus
GSE143758,GSM4276901,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276902,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276903,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276904,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276905,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276906,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276907,Brain,Mus musculus,NONE,7,Hippocampus
GSE143758,GSM4276916,Brain,Mus musculus,NONE,7,Cortex
GSE143758,GSM4276917,Brain,Mus musculus,NONE,10,Cortex
GSE143758,GSM4276918,Brain,Mus musculus,NONE,7,Cortex
GSE143758,GSM4276919,Brain,Mus musculus,NONE,10,Cortex
