gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,brain_region,reporter
GSE71585,GSM1839192,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839193,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839195,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839196,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839197,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839198,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839199,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839200,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839201,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839203,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839204,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839205,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839206,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839207,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839208,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839209,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839210,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839211,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839212,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839213,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839214,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839215,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839216,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839217,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839218,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839219,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839220,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839221,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839222,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839223,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839224,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839225,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839226,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839227,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839228,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839229,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839230,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839231,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839232,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839233,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839234,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839235,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839236,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839237,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1839238,Primary visual cortex,Mus musculus,NONE,VISp,NA
