gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age,sex
GSE75330,GSM2160191,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160192,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160193,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160194,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160195,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160196,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160197,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160198,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160199,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160200,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160201,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160202,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160203,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160204,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160205,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160206,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160207,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160208,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160209,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160210,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160211,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160212,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160213,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160214,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160215,hippocampus CA1,Mus musculus,NONE,p22,F
GSE75330,GSM2160216,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160217,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160218,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160219,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160220,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160221,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160222,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160223,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160224,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160225,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160226,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160227,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160228,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160229,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160230,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160231,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160232,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160233,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160234,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160235,cortex S1,Mus musculus,NONE,p22,pooled male and female
GSE75330,GSM2160236,cortex S1,Mus musculus,NONE,p22,pooled male and female
