gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,developmental_stage,condition
GSE93421,GSM2453043,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453044,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453045,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453046,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453047,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453048,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453049,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453050,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453051,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453052,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453053,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453054,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453055,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453056,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453057,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453058,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453059,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453060,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453061,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453062,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453063,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453064,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453065,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
GSE93421,GSM2453066,E18 mouse brain cells,Mus musculus,NONE,"Cortex, hippocampus and subventricular zone",E18,Healthy
