gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE95315,GSM2501682,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501683,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501684,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501685,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501686,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501687,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501688,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501689,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501690,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501691,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501692,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501693,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501694,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501695,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501696,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501697,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501698,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501699,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501700,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501701,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501702,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501703,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501704,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501705,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501706,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501707,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501708,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501709,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501710,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501711,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501712,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501713,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501714,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501715,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501716,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501717,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501718,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501719,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501720,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501721,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501722,"dentate gyrus, postnatal day 12",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501723,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501724,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
GSE95315,GSM2501725,"dentate gyrus, postnatal day 35",Mus musculus,NONE,dentate gyrus
