gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,organ,treatment,mouse_age
GSE98969,GSM2629341,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629341/suppl/GSM2629341_AB1442.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629342,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629342/suppl/GSM2629342_AB1443.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629343,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629343/suppl/GSM2629343_AB1444.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629344,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629344/suppl/GSM2629344_AB1445.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629345,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629345/suppl/GSM2629345_AB1446.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629346,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629346/suppl/GSM2629346_AB1447.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629347,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629347/suppl/GSM2629347_AB1448.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629348,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629348/suppl/GSM2629348_AB1449.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629352,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629352/suppl/GSM2629352_AB1547.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629353,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629353/suppl/GSM2629353_AB1548.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629354,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629354/suppl/GSM2629354_AB1549.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629355,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629355/suppl/GSM2629355_AB1550.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629356,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629356/suppl/GSM2629356_AB1551.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629357,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629357/suppl/GSM2629357_AB1552.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629358,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629358/suppl/GSM2629358_AB1553.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629359,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629359/suppl/GSM2629359_AB1554.txt.gz,Spinal cord,ALS,80 days
GSE98969,GSM2629360,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629360/suppl/GSM2629360_AB1555.txt.gz,Spinal cord,ALS,135 days
GSE98969,GSM2629361,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629361/suppl/GSM2629361_AB1556.txt.gz,Spinal cord,ALS,135 days
GSE98969,GSM2629362,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629362/suppl/GSM2629362_AB1557.txt.gz,Spinal cord,ALS,135 days
GSE98969,GSM2629363,Spinal cord,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629363/suppl/GSM2629363_AB1558.txt.gz,Spinal cord,ALS,135 days
GSE98969,GSM2629364,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629364/suppl/GSM2629364_AB1667.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629365,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629365/suppl/GSM2629365_AB1668.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629366,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629366/suppl/GSM2629366_AB1709.txt.gz,Brain,Alzheimer's disease,3 months
GSE98969,GSM2629367,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629367/suppl/GSM2629367_AB1710.txt.gz,Brain,Alzheimer's disease,3 months
GSE98969,GSM2629368,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629368/suppl/GSM2629368_AB1711.txt.gz,Brain,Alzheimer's disease,9 months
GSE98969,GSM2629369,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629369/suppl/GSM2629369_AB1712.txt.gz,Brain,Alzheimer's disease,1 month
GSE98969,GSM2629370,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629370/suppl/GSM2629370_AB1713.txt.gz,Brain,Alzheimer's disease,1 month
GSE98969,GSM2629371,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629371/suppl/GSM2629371_AB1714.txt.gz,Brain,Alzheimer's disease,1 month
GSE98969,GSM2629372,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629372/suppl/GSM2629372_AB1715.txt.gz,Brain,Aging,7 weeks
GSE98969,GSM2629373,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629373/suppl/GSM2629373_AB1716.txt.gz,Brain,Aging,7 weeks
GSE98969,GSM2629374,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629374/suppl/GSM2629374_AB1717.txt.gz,Brain,Aging,7 weeks
GSE98969,GSM2629375,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629375/suppl/GSM2629375_AB1718.txt.gz,Brain,Aging,20 months
GSE98969,GSM2629376,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629376/suppl/GSM2629376_AB1719.txt.gz,Brain,Aging,20 months
GSE98969,GSM2629377,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629377/suppl/GSM2629377_AB1720.txt.gz,Brain,Aging,20 months
GSE98969,GSM2629387,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629387/suppl/GSM2629387_AB1730.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629388,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629388/suppl/GSM2629388_AB1731.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629389,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629389/suppl/GSM2629389_AB1732.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629390,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629390/suppl/GSM2629390_AB1733.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629391,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629391/suppl/GSM2629391_AB1734.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629392,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629392/suppl/GSM2629392_AB1735.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629393,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629393/suppl/GSM2629393_AB1736.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629394,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629394/suppl/GSM2629394_AB1737.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629395,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629395/suppl/GSM2629395_AB1738.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629396,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629396/suppl/GSM2629396_AB1739.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629397,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629397/suppl/GSM2629397_AB1740.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629398,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629398/suppl/GSM2629398_AB1741.txt.gz,Brain,Alzheimer's disease,6 months
GSE98969,GSM2629399,Whole brain,Mus musculus,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2629nnn/GSM2629399/suppl/GSM2629399_AB1742.txt.gz,Brain,Alzheimer's disease,6 months
