gse_id,gsm_id,source_name_ch1,organism_ch1,disease_state,organ,Age,Sex,Condition,Tissue,Supplementary
GSE100394,GSM2561559,forebrain from wild-type male e11.5 mouse (hs122 line),Mus musculus,NA,NA,embryonic day 11.5,male,NA,forebrain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2561nnn/GSM2561559/suppl/GSM2561559_LPDD_110314_001A_genes.fpkm_tracking.gz
GSE100394,GSM2561560,forebrain from knockout male e11.5 mouse (hs122 line),Mus musculus,NA,NA,embryonic day 11.5,male,NA,forebrain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2561nnn/GSM2561560/suppl/GSM2561560_LPDD_110314_001B_genes.fpkm_tracking.gz
GSE100394,GSM2561561,forebrain from knockout male e11.5 mouse (hs122 line),Mus musculus,NA,NA,embryonic day 11.5,male,NA,forebrain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2561nnn/GSM2561561/suppl/GSM2561561_LPDD_110314_001C_genes.fpkm_tracking.gz
GSE100394,GSM2561562,forebrain from wild-type male e11.5 mouse (hs122 line),Mus musculus,NA,NA,embryonic day 11.5,male,NA,forebrain,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2561nnn/GSM2561562/suppl/GSM2561562_LPDD_110314_001D_genes.fpkm_tracking.gz
GSE101901,GSM2718317,"Mus musculus hippocampus 24h Sham surgery, 10 weeks",Mus musculus,NA,NA,10 weeks,NA,NA,hippocampus,NONE
GSE101901,GSM2718318,"Mus musculus hippocampus 24h Sham surgery, 10 weeks",Mus musculus,NA,NA,10 weeks,NA,NA,hippocampus,NONE
GSE101901,GSM2718319,"Mus musculus hippocampus 24h Sham surgery, 10 weeks",Mus musculus,NA,NA,10 weeks,NA,NA,hippocampus,NONE
GSE101901,GSM2718320,"Mus musculus hippocampus 24h 1.7atm TBI, 10 weeks",Mus musculus,NA,NA,10 weeks,NA,NA,hippocampus,NONE
GSE101901,GSM2718321,"Mus musculus hippocampus 24h 1.7atm TBI, 10 weeks",Mus musculus,NA,NA,10 weeks,NA,NA,hippocampus,NONE
GSE101901,GSM2718322,"Mus musculus hippocampus 24h 1.7atm TBI, 10 weeks",Mus musculus,NA,NA,10 weeks,NA,NA,hippocampus,NONE
GSE102827,GSM2746895,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746895/suppl/GSM2746895_B1_1_0h_counts.txt.gz
GSE102827,GSM2746896,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746896/suppl/GSM2746896_B1_2_1h_counts.txt.gz
GSE102827,GSM2746897,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746897/suppl/GSM2746897_B1_3_4h_counts.txt.gz
GSE102827,GSM2746898,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746898/suppl/GSM2746898_B2_4_1h_counts.txt.gz
GSE102827,GSM2746899,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746899/suppl/GSM2746899_B3_5_0h_counts.txt.gz
GSE102827,GSM2746900,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746900/suppl/GSM2746900_B3_6_0h_counts.txt.gz
GSE102827,GSM2746901,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746901/suppl/GSM2746901_B3_7_1h_counts.txt.gz
GSE102827,GSM2746902,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746902/suppl/GSM2746902_B3_8_1h_counts.txt.gz
GSE102827,GSM2746903,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746903/suppl/GSM2746903_B3_9_4h_counts.txt.gz
GSE102827,GSM2746904,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746904/suppl/GSM2746904_B3_10_4h_counts.txt.gz
GSE102827,GSM2746905,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746905/suppl/GSM2746905_B4_11_0h_counts.txt.gz
GSE102827,GSM2746906,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746906/suppl/GSM2746906_B4_12_0h_counts.txt.gz
GSE102827,GSM2746907,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746907/suppl/GSM2746907_B5_13_0h_counts.txt.gz
GSE102827,GSM2746908,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746908/suppl/GSM2746908_B5_14_0h_counts.txt.gz
GSE102827,GSM2746909,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746909/suppl/GSM2746909_B5_15_0h_counts.txt.gz
GSE102827,GSM2746910,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746910/suppl/GSM2746910_B5_16_0h_counts.txt.gz
GSE102827,GSM2746911,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746911/suppl/GSM2746911_B6_17_1h_A_counts.txt.gz
GSE102827,GSM2746912,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746912/suppl/GSM2746912_B6_17_1h_B_counts.txt.gz
GSE102827,GSM2746913,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746913/suppl/GSM2746913_B6_18_1h_counts.txt.gz
GSE102827,GSM2746914,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746914/suppl/GSM2746914_B6_19_4h_A_counts.txt.gz
GSE102827,GSM2746915,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746915/suppl/GSM2746915_B6_19_4h_B_counts.txt.gz
GSE102827,GSM2746916,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746916/suppl/GSM2746916_B6_20_4h_A_counts.txt.gz
GSE102827,GSM2746917,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746917/suppl/GSM2746917_B6_20_4h_B_counts.txt.gz
GSE102827,GSM2746918,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746918/suppl/GSM2746918_B7_21_1h_counts.txt.gz
GSE102827,GSM2746919,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746919/suppl/GSM2746919_B7_22_4h_A_counts.txt.gz
GSE102827,GSM2746920,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746920/suppl/GSM2746920_B7_22_4h_B_counts.txt.gz
GSE102827,GSM2746921,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746921/suppl/GSM2746921_B7_23_4h_A_counts.txt.gz
GSE102827,GSM2746922,visual cortex,Mus musculus,NA,NA,6-8wk,male,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2746nnn/GSM2746922/suppl/GSM2746922_B7_23_4h_B_counts.txt.gz
GSE102827,GSM2816595,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816595/suppl/GSM2816595_4-99-1_counts.txt.gz
GSE102827,GSM2816596,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816596/suppl/GSM2816596_4-99-2_counts.txt.gz
GSE102827,GSM2816597,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816597/suppl/GSM2816597_4-99-3_counts.txt.gz
GSE102827,GSM2816598,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816598/suppl/GSM2816598_4-99-4_counts.txt.gz
GSE102827,GSM2816599,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816599/suppl/GSM2816599_4-99-5_counts.txt.gz
GSE102827,GSM2816600,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816600/suppl/GSM2816600_4-99-6_counts.txt.gz
GSE102827,GSM2816601,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816601/suppl/GSM2816601_4-99-7_counts.txt.gz
GSE102827,GSM2816602,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816602/suppl/GSM2816602_4-99-8_counts.txt.gz
GSE102827,GSM2816603,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816603/suppl/GSM2816603_4-99-9_counts.txt.gz
GSE102827,GSM2816604,visual cortex,Mus musculus,NA,NA,6-8wk,NA,NA,NA,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2816nnn/GSM2816604/suppl/GSM2816604_4-99-10_counts.txt.gz
